"workflow","sum"
"wkf_EmployeeDW_HR_Stage",0
"wkf_GENERIC_FILE_LOADS",0
"wkfl_Execute_ODS_Enterprise_Security",0
"wkf_EmployeeDW_HR_Stage",0
"wkf_INTEGRATION_LOAD",0
"wkf_Export_Taleo",0
"wkf_GENERIC_FILE_LOADS",0
"wkf_EmployeeDW_HR_Dim",0
"wkf_FW_STAGING",0
"wkfl_Load_CMS_Certificate_Records",0
"wkfl_Execute_ODS_Enterprise_Security",0
"wkf_INTEGRATION_LOAD",0
"wkf_HCM_DIMENSION_LOAD",0
"wkf_EMPDW_Payroll_Stage2",0
"wkf_Export_Taleo",0
"wkf_FW_STAGING",0
"wkf_EmployeeDW_HR_Dim",0
"wkf_FW_CARS_DIMS",0
"wkf_RUN_STATS",0
"wkf_EmployeeDW_HR_Fact",0
"wflw_transform_and_load_urjanet",0
"wkf_HCM_DIMENSION_LOAD",0
"wkf_FW_ETL",0
"wkf_EMPDW_Payroll_Stage2",0
"wkf_EmployeeDW_Payroll_Dim",0
"wkf_SAGE_FA_GAIN_LOSS",0
"wkf_CeiHRn",0
"wkf_FW_CARS_DIMS",0
"wkf_EmployeeDW_Payroll_MASTER",0
"wkfl_Load_Supplier_Diversity",0
"wkf_RUN_STATS",0
"wkf_EmployeeDW_HR_MASTER",0
"wflw_transform_and_load_urjanet",0
"wkf_HCM_FACT_LOAD",0
"wkf_EmployeeDW_HR_Fact",0
"wkf_EmployeeDW_Payroll_Fact",0
"wkf_Build_Indexes",0
"wkfl_Load_Supplier_Diversity",0
"wkf_EBProllTax",0
"wkf_new_SAGE_FA_PRESENTATION",0
"wkf_EmployeeDW_Payroll_Fact_Del",0
"wkf_FEA_RPT_CONSOLIDATE_NEW",0
"wkf_FEA_RPT_IDQ",0
"wkf_FEA_RPT_MART_NEW",0
"wkf_CeiHRn",0
"wkf_EmployeeDW_Payroll_Dim",0
"wkf_FW_ETL",0
"wkf_CEIPL",0
"wkf_EmployeeDW_Payroll_MASTER",0
"wkf_SAGE_FA_GAIN_LOSS",0
"wkf_new_SAGE_FA_STAGING",0
"wkf_POWERTAX_FA_MAN",0
"wkf_Build_Indexes",0
"wkf_CMGFinCMAct",0
"wkf_EBProllTax",0
"wkf_WH_ASSETS_LOAD",0
"wkf_ARI_ASSETS_LOAD",0
"wkf_LP_ASSETS_LOAD",0
"wkf_HCM_FACT_LOAD",0
"wkf_EmployeeDW_Payroll_Fact_Del",0
"Wkf_PR_Summ_Info",0
"wkf_EmployeeDW_Payroll_Fact",0
"wkf_new_SAGE_FA_PRESENTATION",0
"wkf_new_TAX_FA_STAGING",0
"wkf_GE_ASSETS_LOAD",0
"wkf_HR_Reporting",0
"wkf_FEA_RPT_CONSOLIDATE_NEW",0
"wkf_FEA_RPT_MART_NEW",0
"wkf_FEA_RPT_IDQ",0
"wkf_EmployeeDW_HR_MASTER",0
"wkf_ACD_Manheim_Rmdy_Incident_Stage",0
"wkf_FDMEE_ETL_TBLS",0
"wkf_FDMEE_HFM_HIERARCHY",0
"wkf_HFM_STAGE",0
"wkf_POWERTAX_FA_CCI",0
"wkf_FDMEE_HFM_HIERARCHY",0
"wkf_WH_ASSETS_LOAD",0
"wkf_new_SAGE_FA_STAGING",0
"wkf_POWERTAX_FA_MAN",0
"wkf_ARI_ASSETS_LOAD",0
"wkf_LP_ASSETS_LOAD",0
"wkf_GE_ASSETS_LOAD",0
"wkf_CEIPL",0
"wkf_SubVars_Payroll",0
"wkf_CMGFinCMAct",0
"wkf_CEIPL_Import_From_Oracle_eBS",0
"Wkf_PR_Summ_Info",0
"wkf_HFM_FMDMEE_STAGE",0
"wkf_FDMEE_STAGE",0
"wkf_new_TAX_FA_STAGING",0
"wkf_ACD_Manheim_Rmdy_Incident_Stage",0
"wkf_CEIPL_Employee_Benefits",0
"wkf_HR_Reporting",0
"wkf_DQ_FRAMEWORK_DATA_QUALITY_AUDITS",0
"wkf_POWERTAX_FA_CCI",0
"wkf_EmployeeDW_Payroll_Fact_PDR",0
"wkf_EmployeeDW_Payroll_Fact_PDR",0
"wkf_SubVars_Payroll",0
"wkf_CEIPL_Import_From_Oracle_eBS",0
"wkf_WH_INVOICES_LOAD",0
"wkf_URJANET_LOAD_BU_XREF",0
"wkf_ARI_INVOICES_LOAD",0
"wkf_LP_INVOICES_LOAD",0
"wkf_GE_INVOICES_LOAD",0
"wkf_DQ_FRAMEWORK_DATA_QUALITY_AUDITS",0
"wkf_CeiTax_OneSource_TaxPkg",0
"wkf_Fuel",0
